City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao gabriel da cachoeira,-0.1303,-67.0892,23.72,91,74,0.49,BR,1675295928
1,cidreira,-30.1811,-50.2056,24.84,87,1,3.58,BR,1675295928
2,alofi,-19.0595,-169.9187,24.94,94,100,6.17,NU,1675295929
3,port elizabeth,-33.918,25.5701,19.06,88,0,4.12,ZA,1675295737
4,dikson,73.5069,80.5464,-19.17,92,94,3.78,RU,1675295929
5,lakhnadon,22.6,79.6,10.4,36,2,2.2,IN,1675295930
6,qaanaaq,77.484,-69.3632,-23.02,63,35,3.75,GL,1675295930
7,kathu,7.9178,98.3332,22.9,82,87,2.54,TH,1675295930
8,liku,-0.7275,119.8922,25.09,90,100,0.18,ID,1675295931
9,rikitea,-23.1203,-134.9692,26.51,75,10,6.21,PF,1675295932
10,busselton,-33.65,115.3333,17.02,61,4,7.66,AU,1675295932
11,albany,42.6001,-73.9662,-4.24,56,44,2.32,US,1675295714
12,ushuaia,-54.8,-68.3,14.81,58,75,6.69,AR,1675295933
13,vytegra,61.0064,36.4481,-7.01,95,99,3.12,RU,1675295933
14,new norfolk,-42.7826,147.0587,16.05,40,100,2.68,AU,1675295650
15,clonakilty,51.6231,-8.8706,8.56,89,100,7.49,IE,1675295934
16,hamilton,39.1834,-84.5333,-0.87,51,0,0.45,US,1675295902
17,upernavik,72.7868,-56.1549,-26.12,98,100,2.11,GL,1675295700
18,avera,33.194,-82.5271,16.73,81,98,2.42,US,1675295708
19,avarua,-21.2078,-159.775,23.03,94,100,1.03,CK,1675295935
20,kapaa,22.0752,-159.319,27.18,76,0,4.12,US,1675295935
21,tiarei,-17.5333,-149.3333,30.01,72,9,9.01,PF,1675295935
22,suntar,62.1444,117.6319,-27.43,95,100,2.67,RU,1675295936
23,sitka,57.0531,-135.33,5.94,81,100,0.0,US,1675295936
24,yellowknife,62.456,-114.3525,-32.47,75,0,2.57,CA,1675295937
25,mataura,-46.1927,168.8643,27.95,45,53,1.52,NZ,1675295937
26,mandan,46.8267,-100.8896,-5.91,86,0,4.63,US,1675295937
27,nago,26.5881,127.9761,17.47,76,97,4.32,JP,1675295938
28,kavieng,-2.5744,150.7967,29.77,61,99,4.81,PG,1675295693
29,wajir,1.7471,40.0573,25.25,66,46,6.75,KE,1675295938
30,vaini,-21.2,-175.2,29.09,79,75,7.2,TO,1675295939
31,grand-santi,4.25,-54.3833,21.99,99,94,1.14,GF,1675295939
32,uyemskiy,64.4743,40.8524,-3.97,86,100,2.0,RU,1675295940
33,jizan,17.3333,42.6667,24.52,81,17,1.8,SA,1675295940
34,monster,52.0258,4.175,8.99,85,100,7.2,NL,1675295940
35,kem,64.9555,34.5793,-13.5,97,25,2.86,RU,1675295941
36,tuktoyaktuk,69.4541,-133.0374,-38.0,74,75,1.54,CA,1675295941
37,sungurlu,40.1675,34.3739,-6.41,97,93,1.11,TR,1675295942
38,sur,22.5667,59.5289,18.56,74,2,2.16,OM,1675295942
39,saint-pierre,-21.3393,55.4781,23.82,73,0,2.06,RE,1675295734
40,cimitarra,6.3142,-73.9497,25.37,71,41,1.56,CO,1675295943
41,saskylakh,71.9167,114.0833,-24.43,98,100,3.6,RU,1675295742
42,fare,-16.7,-151.0167,27.84,72,60,8.71,PF,1675295944
43,hilo,19.7297,-155.09,27.93,75,0,3.09,US,1675295944
44,de-kastri,51.4667,140.7833,-20.46,93,99,2.5,RU,1675295945
45,lompoc,34.6391,-120.4579,18.77,44,40,2.57,US,1675295946
46,plainview,40.7765,-73.4673,2.7,55,0,1.54,US,1675295946
47,dunda,-8.1167,34.25,16.96,97,72,1.71,TZ,1675295947
48,luganville,-15.5333,167.1667,29.79,69,47,1.81,VU,1675295948
49,sobolevo,54.4299,31.8996,-1.76,95,100,5.32,RU,1675295948
50,castro,-24.7911,-50.0119,18.04,95,100,1.03,BR,1675295949
51,hithadhoo,-0.6,73.0833,27.13,77,54,5.02,MV,1675295949
52,cabo san lucas,22.8909,-109.9124,21.45,66,74,3.84,MX,1675295758
53,bredasdorp,-34.5322,20.0403,19.25,73,98,1.69,ZA,1675295950
54,saint-philippe,-21.3585,55.7679,23.77,84,49,2.59,RE,1675295695
55,atuona,-9.8,-139.0333,25.93,77,80,7.15,PF,1675295951
56,pevek,69.7008,170.3133,-22.02,96,30,1.1,RU,1675295661
57,provideniya,64.3833,-173.3,-3.94,80,75,6.0,RU,1675295951
58,kodiak,57.79,-152.4072,3.73,65,0,2.57,US,1675295658
59,cape town,-33.9258,18.4232,19.93,74,20,6.69,ZA,1675295832
60,wolmirstedt,52.25,11.6333,5.44,74,99,9.63,DE,1675295952
61,qandala,11.472,49.8728,22.39,74,31,1.73,SO,1675295953
62,butaritari,3.0707,172.7902,26.94,79,78,8.25,KI,1675295954
63,aklavik,68.2191,-135.0107,-34.0,68,0,1.03,CA,1675295955
64,arraial do cabo,-22.9661,-42.0278,24.25,90,82,6.2,BR,1675295656
